Disparity_Rank,Team,Disparity_Ratio,Disparity_Diff,first_off_xG_per_hour,second_off_xG_per_hour,first_off_xG,second_off_xG,first_off_TOI,second_off_TOI,first_off_Goals,second_off_Goals
1,usa,1.3643077298926605,0.7268777708763932,2.7221079327248945,1.9952301618485013,81.27040000000001,58.1439,107480.47,104909.22,61,88
2,saudi_arabia,1.362785410206304,0.5937417442423998,2.2303614305323163,1.6366196862899165,70.47970000000001,51.192499999999995,113760.45,112605.88,48,60
3,guatemala,1.355609537148546,0.7311670303041664,2.7872621400333015,2.056095109729135,85.13470000000001,62.006099999999996,109959.13,108565.97,59,77
4,uae,1.3552245051198706,0.5196279362074938,1.9824435041597817,1.4628155679522878,62.6933,45.6959,113847.32,112457.95,46,60
5,france,1.3400063811038756,0.6451722654036922,2.5427021391344593,1.897529873730767,79.1799,58.26220000000001,112104.22,110535.24,64,64
6,iceland,1.3240769743314706,0.6300445045458529,2.5741644342185923,1.9441199296727394,77.98689999999999,57.803399999999996,109065.62,107036.73,65,84
7,singapore,1.255006274428402,0.5311824904497482,2.6141998265541107,2.0830173361043625,80.48519999999999,63.8009,110835.72,110264.68000000001,69,61
8,new_zealand,1.2251181677317453,0.44423736979652007,2.417589295465535,1.973351925669015,72.1888,58.305099999999996,107495.38,106366.41,50,69
9,panama,1.1989580989505724,0.4201358841894627,2.531816114376213,2.1116802301867503,78.7958,64.7872,112040.07999999999,110449.45000000001,60,78
10,peru,1.19781856352069,0.3918595742746247,2.3727635263632267,1.980903952088602,75.4597,62.5497,114488.82999999999,113674.83000000002,61,83
11,rwanda,1.1931364392259216,0.3761548073254868,2.323766603592888,1.9476117962674013,69.072,57.0319,107006.95999999999,105418.76999999999,51,64
12,india,1.1667656763928527,0.34421722700994684,2.4082944067712577,2.064077179761311,75.41980000000001,64.16720000000001,112740.06999999999,111915.35,70,73
13,uk,1.1658184035483152,0.3852281155565729,2.7084208813362,2.323192765779627,87.05520000000001,72.5518,115712.70999999999,112425.66,59,80
14,netherlands,1.1137803662801613,0.2180903441397768,2.134856402026893,1.9167660578871164,67.51429999999999,59.957800000000006,113849.1,112610.55,56,68
15,serbia,1.1113694686076643,0.2799453698478622,2.7936088841640028,2.5136635143161405,84.0457,73.5337,108305.97,105312.95,90,69
16,south_korea,1.106630865023954,0.26102156120043585,2.708920311171175,2.447898749970739,80.747,70.5865,107308.14,103807.96999999999,72,100
17,mexico,1.059107552210419,0.142399819652264,2.5515643735375244,2.4091645538852604,78.2263,73.1258,110369.42000000001,109271.44,62,74
18,china,1.0518129062182027,0.12295342707045576,2.495980459228332,2.3730270321578764,79.63659999999999,74.2364,114861.37999999999,112620.31,71,73
19,mongolia,1.045492388988358,0.0714769074006989,1.6426607689251087,1.5711838615244098,50.893499999999996,47.005399999999995,111536.47999999998,107701.87,53,50
20,pakistan,1.0348771488037027,0.09995087874882413,2.9657493220611606,2.8657984433123365,87.1711,83.5325,105813.38,104933.06,70,108
21,canada,1.0106258886097386,0.024850451081344094,2.363520843180949,2.338670392099605,74.01679999999999,70.47630000000001,112738.79000000001,108486.72,60,69
22,kazakhstan,1.0015977171063022,0.0026617622268609864,1.668640186293145,1.665978424066284,52.8666,51.985200000000006,114056.8,112334.41999999998,52,53
23,philippines,1.0003971823025275,0.0007283125071475549,1.8344265979364396,1.833698285429292,61.0139,59.316900000000004,119737.70999999999,116453.64,46,65
24,morocco,0.9989930939303134,-0.002327357414389386,2.309067403681686,2.3113947610960754,73.3145,71.4817,114302.51,111332.83,61,68
25,oman,0.9823813805688515,-0.04412104214727286,2.4601070740052213,2.504228116152494,72.30090000000001,72.9623,105801.59,104888.32,66,78
26,brazil,0.9799744789665826,-0.054815277500002146,2.6824556982978214,2.7372709757978235,81.0273,81.7372,108743.0,107499.01000000001,100,70
27,thailand,0.9769358430442828,-0.0667893302407081,2.82901693612067,2.895806266361378,86.3432,86.2828,109874.04000000001,107264.8,92,87
28,indonesia,0.9600292954155615,-0.0750949156673375,1.8036539442307593,1.8787488598980968,57.439899999999994,58.0877,114647.07,111305.84,55,71
29,germany,0.9560039215091626,-0.09976445840653048,2.16781169448417,2.2675761528907006,67.50450000000001,69.3936,112102.08000000002,110169.16,82,70
30,vietnam,0.9446812363253817,-0.11743563189800676,2.0054540369448524,2.122889668842859,61.786,64.8531,110912.34,109978.0,49,67
31,ethiopia,0.9057284366793519,-0.2310369146634894,2.2197224291447593,2.4507593438082487,68.1714,72.6759,110562.04000000001,106755.99,86,80
32,switzerland,0.8889549680098017,-0.21299117926947053,1.705070128401374,1.9180613076708446,52.566900000000004,58.4315,110987.13,109669.8,46,69
