Disparity_Rank,Team,Disparity_Ratio,Disparity_Diff,first_off_xG_per_hour,second_off_xG_per_hour,first_off_xG,second_off_xG,first_off_TOI,second_off_TOI,first_off_Goals,second_off_Goals
1,usa,1.3643077298926605,0.7268777708763932,2.7221079327248945,1.9952301618485013,81.27040000000001,58.1439,107480.47,104909.22,61,88
2,saudi_arabia,1.362785410206304,0.5937417442423998,2.2303614305323163,1.6366196862899165,70.47970000000001,51.192499999999995,113760.45,112605.88,48,60
3,guatemala,1.355609537148546,0.7311670303041664,2.7872621400333015,2.056095109729135,85.13470000000001,62.006099999999996,109959.13,108565.97,59,77
4,uae,1.3552245051198706,0.5196279362074938,1.9824435041597817,1.4628155679522878,62.6933,45.6959,113847.32,112457.95,46,60
5,france,1.3400063811038756,0.6451722654036922,2.5427021391344593,1.897529873730767,79.1799,58.26220000000001,112104.22,110535.24,64,64
6,iceland,1.3240769743314706,0.6300445045458529,2.5741644342185923,1.9441199296727394,77.98689999999999,57.803399999999996,109065.62,107036.73,65,84
7,singapore,1.255006274428402,0.5311824904497482,2.6141998265541107,2.0830173361043625,80.48519999999999,63.8009,110835.72,110264.68000000001,69,61
8,new_zealand,1.2251181677317453,0.44423736979652007,2.417589295465535,1.973351925669015,72.1888,58.305099999999996,107495.38,106366.41,50,69
9,panama,1.1989580989505724,0.4201358841894627,2.531816114376213,2.1116802301867503,78.7958,64.7872,112040.07999999999,110449.45000000001,60,78
10,peru,1.19781856352069,0.3918595742746247,2.3727635263632267,1.980903952088602,75.4597,62.5497,114488.82999999999,113674.83000000002,61,83
